Filename,no_reds_time,Found VC,Solution VC,reds_time
000020_000000000120.input,0.052291631698608,18,18,0.036450862884522
000040_000000000120.input,0.058269023895264,30,30,0.033556938171387
000022_000000000132.input,0.047518968582153,19,19,0.032148122787476
000014_000000000140.input,0.050095081329346,13,13,0.034801006317139
000024_000000000144.input,0.041011333465576,22,22,0.047954320907593
000045_000000000135.input,0.05284309387207,32,32,0.034469842910767
000026_000000000156.input,0.037878036499024,23,23,0.035423994064331
000016_000000000160.input,0.039718151092529,15,15,0.044341802597046
000050_000000000150.input,0.049746036529541,42,42,0.032567024230957
000028_000000000168.input,0.038930892944336,26,26,0.041435956954956
000018_000000000180.input,0.046135902404785,17,17,0.041808128356934
000055_000000000165.input,0.056730270385742,39,39,0.038952827453613
000030_000000000180.input,0.058226108551025,27,27,0.053995132446289
000060_000000000180.input,0.058106184005737,43,43,0.037708997726441
000020_000000000200.input,0.057381868362427,18,18,0.045973062515259
000200_000000000240.input,0.056406974792481,38,38,0.035539865493775
000035_000000000210.input,0.061306953430176,26,26,0.035881042480469
000022_000000000220.input,0.051334857940674,20,20,0.037317991256714
000065_000000000195.input,0.061597108840942,49,49,0.049736261367798
000024_000000000240.input,0.064266920089722,22,22,0.045258045196533
000026_000000000260.input,0.051044702529907,25,25,0.050586700439453
000040_000000000240.input,0.042608976364136,35,35,0.040578126907349
000028_000000000280.input,0.048557758331299,22,22,0.051491022109985
000070_000000000210.input,0.047903060913086,56,56,0.042411088943482
000045_000000000270.input,0.06138801574707,39,39,0.037777185440064
000030_000000000300.input,0.048166036605835,25,25,0.048350334167481
000075_000000000225.input,0.053150892257691,58,58,0.05600905418396
000080_000000000240.input,0.064373016357422,62,62,0.037484169006348
000050_000000000300.input,0.059195280075073,46,46,0.048914909362793
000035_000000000350.input,0.048819065093994,34,34,0.056153059005737
000085_000000000255.input,0.050600051879883,66,66,0.040425062179566
000055_000000000330.input,0.055926084518433,48,48,0.042962074279785
000090_000000000270.input,0.087831020355225,70,70,0.048763036727905
000040_000000000400.input,0.07043194770813,36,36,0.048656702041626
000060_000000000360.input,0.07052493095398,50,50,0.055356740951538
000300_000000000360.input,0.04400110244751,58,58,0.039751291275025
000095_000000000285.input,0.069525003433228,78,78,0.040020942687988
000100_000000000300.input,0.0622239112854,86,86,0.061435699462891
000045_000000000450.input,0.049134254455567,40,40,0.051478862762451
000070_000000000420.input,0.062631130218506,60,60,0.046274185180664
000065_000000000390.input,0.065045356750488,59,59,0.055476903915405
000050_000000000500.input,0.058539867401123,47,47,0.060204267501831
000400_000000000480.input,0.052757024765015,78,78,0.046422004699707
000055_000000000550.input,0.066208839416504,49,49,0.056087017059326
000075_000000000450.input,0.065752983093262,68,68,0.057615995407105
000080_000000000480.input,0.06806492805481,73,73,0.050482273101807
000060_000000000600.input,0.070174217224121,53,53,0.074119091033936
000090_000000000540.input,0.068946361541748,78,78,0.050318956375122
000085_000000000510.input,0.077932834625244,76,76,0.062475919723511
000065_000000000650.input,0.066778898239136,63,63,0.057114124298096
000095_000000000570.input,0.07863187789917,86,86,0.064536094665527
000070_000000000700.input,0.081951141357422,67,67,0.059484004974365
000100_000000000600.input,0.07844090461731,95,95,0.067633867263794
000075_000000000750.input,0.084474802017212,70,70,0.07630205154419
000080_000000000800.input,0.085842847824097,77,77,0.067265748977661
000500_000000000600.input,0.068085193634033,100,100,0.079637050628662
