Filename,reds_time,Found VC,Solution VC,no_reds_time
000022_000000000220.input,0.029914379119873,20,20,0.028275728225708
000065_000000000195.input,0.025510311126709,49,49,0.026029109954834
000024_000000000240.input,0.034635305404663,22,22,0.029019355773926
000026_000000000260.input,0.033714056015015,25,25,0.03363299369812
000040_000000000240.input,0.032219648361206,35,35,0.036112785339356
000028_000000000280.input,0.03909707069397,22,22,0.033793926239014
000070_000000000210.input,0.031718492507935,56,56,0.028951406478882
000045_000000000270.input,0.029633283615112,39,39,0.030602216720581
000030_000000000300.input,0.035846471786499,25,25,0.040745973587036
000075_000000000225.input,0.030052423477173,58,58,0.032293796539307
000080_000000000240.input,0.034049510955811,62,62,0.031365394592285
000050_000000000300.input,0.033539295196533,46,46,0.038322448730469
000035_000000000350.input,0.033314228057861,34,34,0.037014961242676
000085_000000000255.input,0.039371013641358,66,66,0.040089130401611
000055_000000000330.input,0.04152512550354,48,48,0.043821573257446
000090_000000000270.input,0.037147760391235,70,70,0.040279865264893
000040_000000000400.input,0.046413898468018,36,36,0.044699192047119
000060_000000000360.input,0.034293413162232,50,50,0.032557249069214
000300_000000000360.input,0.030935287475586,58,58,0.03553032875061
000095_000000000285.input,0.039747953414917,78,78,0.03201699256897
000100_000000000300.input,0.034255981445313,86,86,0.037688970565796
000045_000000000450.input,0.044198989868164,40,40,0.037299871444702
000070_000000000420.input,0.048290252685547,60,60,0.041006326675415
000065_000000000390.input,0.042264461517334,59,59,0.038203239440918
000050_000000000500.input,0.047488927841187,47,47,0.046414375305176
000400_000000000480.input,0.040356159210205,78,78,0.043859481811524
000055_000000000550.input,0.054198980331421,49,49,0.050106525421143
000075_000000000450.input,0.04659366607666,68,68,0.048195123672485
000080_000000000480.input,0.0531485080719,73,73,0.044054508209229
000060_000000000600.input,0.059783220291138,53,53,0.057690858840942
000090_000000000540.input,0.06154465675354,78,78,0.050772666931152
000085_000000000510.input,0.051642417907715,76,76,0.054916143417358
000065_000000000650.input,0.062496185302734,63,63,0.054864406585693
000095_000000000570.input,0.061650037765503,86,86,0.082080602645874
000070_000000000700.input,0.059700727462769,67,67,0.071420907974243
000100_000000000600.input,0.066415786743164,95,95,0.065260887145996
000075_000000000750.input,0.065837383270264,70,70,0.068548440933228
000080_000000000800.input,0.073599338531494,77,77,0.063033103942871
000500_000000000600.input,0.05856728553772,100,100,0.058966398239136
000085_000000000850.input,0.073429584503174,82,82,0.070858478546143
000090_000000000900.input,0.080493450164795,85,85,0.079709529876709
000095_000000000950.input,0.080032348632813,87,87,0.086572647094727
000200_000000000600.input,0.076177835464478,178,178,0.070337772369385
000600_000000000720.input,0.069945335388184,119,119,0.07013463973999
000100_000000001000.input,0.085586071014404,96,96,0.092922687530518
000700_000000000840.input,0.084851741790772,140,140,0.088023662567139
000800_000000000960.input,0.106533765792847,160,160,0.106135129928589
000900_000000001080.input,0.114385843276978,180,180,0.10812520980835
000300_000000000900.input,0.127163410186768,283,283,0.124040603637695
000200_000000001200.input,0.139147281646729,194,194,0.129788398742676
001000_000000001200.input,0.132096290588379,199,199,0.126163482666016
000400_000000001200.input,0.19936728477478,382,382,0.195754289627075
000200_000000002000.input,0.207073926925659,197,197,0.216140270233154
000300_000000001800.input,0.267090797424316,296,296,0.261839628219604
000500_000000001500.input,0.264639854431152,478,478,0.265594482421875
000600_000000001800.input,0.36923623085022,582,582,0.364674806594849
000300_000000003000.input,0.419949531555176,296,296,0.412132978439331
000400_000000002400.input,0.3969886302948,392,392,0.401505708694458
000700_000000002100.input,0.546307802200317,681,681,0.535915374755859
000800_000000002400.input,0.701563596725464,784,784,0.6950843334198
000500_000000003000.input,0.628389120101929,498,498,0.633600234985352
000400_000000004000.input,0.694818496704102,396,396,0.713762998580933
000900_000000002700.input,1.53765225410461,872,872,1.43687558174133
000600_000000003600.input,0.886101007461548,593,593,0.877582788467407
001000_000000003000.input,1.73978567123413,982,982,1.69857788085938
000500_000000005000.input,1.0587751865387,498,498,1.0585618019104
000700_000000004200.input,1.17724180221558,692,692,1.16761255264282
000800_000000004800.input,1.49267292022705,795,795,1.52068376541138
000600_000000006000.input,1.5519802570343,595,595,1.55168318748474
000900_000000005400.input,1.96411752700806,892,892,1.91484475135803
000700_000000007000.input,2.14230227470398,696,696,2.09583830833435
001000_000000006000.input,2.3691258430481,989,989,2.37104487419128
000800_000000008000.input,2.80890011787415,796,796,2.78173732757568
000900_000000009000.input,3.5505690574646,895,895,3.58260130882263
001000_000000010000.input,4.41978001594543,997,997,4.46523523330689
